Country;ID;Annual area of forest loss due to fire, km2;;;;;;;;;;;;;;;;;;;;% from total loss
;;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;total;
Cyprus;58;1;0;0;0;0;0;7;1;0;0;1;1;1;1;0;7;6;0;0;27;68
Czech Republic;59;1;1;0;1;1;0;1;4;0;1;1;4;0;1;0;1;0;0;1;22;0,6
Democratic Republic of the Congo;60;76;42;16;54;27;26;42;17;33;47;42;48;195;141;131;561;339;396;315;2?545;2
Denmark;61;3;0;1;1;1;1;1;1;2;1;0;1;0;0;0;1;1;0;2;16;2
Djibouti;62;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;no forest loss
Dominica;63;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;1;0;15;6
Dominican Republic;64;13;6;9;16;90;8;12;20;7;9;7;11;22;20;35;50;30;10;20;396;12
East Timor;65;1;1;1;2;1;3;2;1;2;1;1;1;0;1;1;1;1;1;1;21;7
Ecuador;66;43;26;14;32;35;30;35;29;38;21;25;70;26;21;22;42;74;40;36;660;8
Egypt;67;0;0;0;0;0;0;0;1;0;0;0;2;1;1;0;0;0;0;0;6;13
El Salvador;68;3;3;1;2;2;2;2;1;2;1;1;1;1;1;2;8;5;3;1;41;5
Equatorial Guinea;69;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;4;0,3
Eritrea;70;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9
Estonia;71;5;4;1;2;3;10;4;7;4;3;3;5;1;1;1;2;3;3;2;63;1
Ethiopia;72;1;1;0;1;1;1;1;2;1;1;1;1;3;5;2;2;3;2;2;29;0,5
Falkland Islands;73;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;no forest loss
Faroe Islands;74;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;no forest loss
Fiji;75;0;0;1;1;1;1;1;1;1;1;0;0;2;5;1;13;3;2;0;35;8
Finland;76;41;26;33;35;48;79;33;61;43;51;47;54;17;26;13;37;53;9;15;721;2
France;77;24;33;44;85;30;23;21;25;24;56;20;46;7;11;7;33;79;44;50;661;6
French Guiana;78;3;2;2;4;2;2;3;4;3;3;2;9;3;3;2;6;6;5;4;68;9
French Polynesia;79;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;no forest loss
French Southern Territories;80;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;no forest loss
Gabon;81;2;2;2;1;2;2;1;2;1;1;2;1;4;3;1;3;4;4;7;43;1
Gambia;82;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,08
Georgia;83;1;1;0;2;1;1;4;3;2;1;2;1;0;0;0;1;1;1;0;22;21
Germany;84;4;6;1;10;4;3;22;9;4;11;6;11;3;3;0;4;6;2;14;124;2
Ghana;85;1;2;1;1;1;0;1;1;1;0;0;1;2;1;0;37;1;0;0;50;0,3
Gibraltar;86;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;33
Greece;87;85;14;5;14;13;39;415;163;28;46;28;99;63;22;24;49;86;49;48;1?291;62
Greenland;88;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;no forest loss
Grenada;89;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
Guadeloupe;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3
Guam;91;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;no forest loss
Guatemala;92;45;90;121;52;176;62;140;64;100;74;47;133;47;33;42;590;93;88;243;2?242;15
Guernsey;93;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22
Guinea;94;1;1;0;0;1;0;1;0;0;0;0;0;1;2;1;6;4;2;3;25;0,1
Guinea-Bissau;95;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0,07
Guyana;96;33;3;27;6;6;5;5;6;6;13;4;13;11;11;23;107;25;16;79;398;19
Haiti;97;2;1;1;2;2;1;1;1;1;1;1;1;2;2;2;21;7;3;3;53;7
Heard Island and McDonald Islands;98;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;no forest loss
Honduras;99;39;32;25;20;31;30;31;40;38;26;39;25;28;45;56;474;176;102;147;1?403;13
Hong Kong;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;19
Hungary;101;2;2;1;9;5;2;3;3;2;4;1;3;1;2;1;2;1;0;0;43;2
Iceland;102;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;no forest loss
India;103;33;17;23;35;29;31;37;46;45;30;45;45;12;23;13;21;29;18;19;549;3
Indonesia;104;545;1?149;1?274;1?295;1?588;1?417;2?515;881;1?765;1?062;1?077;2?006;694;2?854;3?564;8?190;783;771;1?175;34?606;13
Iran;105;1;2;1;1;1;1;0;1;1;1;1;1;0;0;0;0;0;0;1;14;35
Iraq;106;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;35
Ireland;107;10;4;1;5;3;2;16;5;3;4;2;3;2;1;0;1;2;1;1;66;5
Isle of Man;108;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;19
Israel;109;0;0;0;0;0;1;0;0;0;0;7;0;0;0;0;0;1;0;0;12;37
Italy;110;11;15;6;18;15;8;24;34;16;10;14;44;35;19;11;37;121;68;24;532;14
Jamaica;111;0;1;1;2;12;1;0;1;1;1;0;1;1;2;5;5;1;1;1;36;7
Japan;112;14;16;13;13;14;11;18;15;13;17;17;25;4;5;2;14;6;5;4;226;3
Jersey;113;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;26
Jordan;114;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;61
Kazakhstan;115;26;15;19;33;15;21;34;31;26;8;18;13;17;1;0;3;4;5;3;291;43
Kenya;116;1;0;1;1;2;2;2;2;1;2;1;3;1;3;4;2;5;3;3;40;0,8
Kiribati;117;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;no forest loss
Kosovo;118;2;0;0;0;0;0;4;3;1;0;2;7;3;1;0;1;0;0;0;26;19
Kuwait;119;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;no forest loss
Kyrgyzstan;120;3;2;1;1;1;1;1;1;2;2;1;1;0;0;0;0;0;0;0;17;63
Laos;121;2;4;4;2;6;7;7;5;5;6;7;11;5;6;5;15;8;8;10;124;0,4
Latvia;122;5;2;3;3;4;6;5;4;3;7;4;7;2;1;1;3;5;7;5;77;1
Lebanon;123;1;0;0;0;1;1;1;2;1;0;0;0;1;1;0;1;1;1;1;14;27
Lesotho;124;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
Liberia;125;3;4;2;0;1;0;2;0;3;0;1;3;7;6;3;15;10;9;11;81;0,5
Libya;126;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;3;49
Liechtenstein;127;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
Lithuania;128;3;1;1;2;2;3;2;3;1;4;2;3;1;1;0;3;3;1;1;36;1
Luxembourg;129;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
Macau;130;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
Macedonia;131;5;1;0;1;1;1;20;15;9;1;2;8;3;2;0;1;4;4;3;82;20
Madagascar;132;22;45;39;25;47;64;81;51;65;88;63;117;154;523;170;205;403;233;254;2?649;6
Malawi;133;0;0;0;0;0;1;0;0;0;0;0;0;1;1;1;1;1;1;0;9;0,3
Malaysia;134;76;82;52;88;105;68;102;70;175;117;91;167;68;261;138;271;133;95;96;2?254;3
Maldives;135;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;no forest loss
Mali;136;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0,02
Malta;137;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;23
Marshall Islands;138;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;no forest loss
Martinique;139;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2
Mauritania;140;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;23
Mauritius;141;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;no forest loss
Mayotte;142;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,4
Mexico;143;177;189;251;203;305;468;228;249;505;182;408;285;353;128;319;509;618;488;891;6?755;16
Micronesia;144;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;no forest loss
Moldova;145;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;7;9
Monaco;146;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;no forest loss
Mongolia;147;173;185;442;595;69;139;491;605;863;91;38;474;7;4;74;46;301;94;49;4?740;95
Montenegro;148;3;0;1;2;0;0;6;5;1;0;2;6;10;3;0;1;9;5;1;56;32
Montserrat;149;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7
Morocco;150;6;10;6;6;7;10;8;11;5;2;12;9;3;6;2;10;12;4;5;134;29
Mozambique;151;7;9;8;9;21;18;19;15;18;25;13;18;33;24;49;55;42;20;66;469;1
Myanmar;152;17;17;20;21;20;48;41;35;63;62;34;72;27;30;25;33;32;18;24;641;2
Namibia;153;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0,9
Nauru;154;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;no forest loss
Nepal;155;3;5;5;4;6;8;6;6;17;4;4;11;0;1;0;1;7;1;1;90;18
Netherlands;156;0;1;0;2;1;1;1;1;2;5;1;1;0;0;0;0;1;0;1;19;7
New Caledonia;157;1;1;3;7;8;13;4;1;1;1;1;2;6;7;1;8;4;22;5;97;38
New Zealand;158;15;13;14;19;22;19;25;21;14;12;11;25;32;31;18;48;25;27;23;413;3
Nicaragua;159;20;10;13;7;21;12;25;19;21;30;9;10;19;23;16;146;145;57;63;667;4
Niger;160;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
Nigeria;161;2;1;1;1;1;1;3;1;1;2;1;2;1;1;1;2;8;2;2;31;0,1
